Time (ns)	|TDR_BPI(1,1,0,1,1,0)|[*] : ToTimeDomain
17.5714	0.000996373
17.7143	0.00129825
17.8571	0.00110941
18	0.00124308
18.1429	0.00100204
18.2857	0.00127371
18.4286	0.00121253
18.5714	0.00111557
18.7143	0.00117881
18.8571	0.0011648
19	0.00110321
19.1429	0.00120725
19.2857	0.00110405
19.4286	0.00111759
19.5714	0.00110161
19.7143	0.0010229
19.8571	0.00109088
20	0.00105549
20.1429	0.00099154
20.2857	0.00114021
20.4286	0.00114869
20.5714	0.00102062
20.7143	0.00084324
20.8571	0.000876578
21	0.00084135
21.1429	0.000880174
21.2857	0.000844771
21.4286	0.000862616
21.5714	0.000919295
21.7143	0.000993991
21.8571	0.00101912
22	0.000882598
22.1429	0.00120285
22.2857	0.0010721
22.4286	0.000983141
22.5714	0.000912433
22.7143	0.000957342
22.8571	0.00100313
23	0.00100225
23.1429	0.000865387
23.2857	0.00089211
23.4286	0.000844446
23.5714	0.000852338
23.7143	0.000916432
23.8571	0.000895661
24	0.000820801
24.1429	0.0007551
24.2857	0.000811401
24.4286	0.000793501
24.5714	0.000846157
24.7143	0.000870182
24.8571	0.000747742
25	0.000822153
25.1429	0.000979081
25.2857	0.000988214
25.4286	0.000814921
25.5714	0.000841626
25.7143	0.000762889
25.8571	0.000881496
26	0.000954
26.1429	0.000966604
26.2857	0.000957471
26.4286	0.000880005
26.5714	0.000884876
26.7143	0.000839379
26.8571	0.000907059
27	0.000820171
27.1429	0.000738722
27.2857	0.000763134
27.4286	0.000744109
27.5714	0.000772228
27.7143	0.000763437
27.8571	0.000766258
28	0.000799537
28.1429	0.000822494
28.2857	0.000809165
28.4286	0.000787542
28.5714	0.000775287
28.7143	0.000763863
28.8571	0.000739083
29	0.000756991
29.1429	0.000745938
29.2857	0.000688765
29.4286	0.000623431
29.5714	0.000660361
29.7143	0.000725779
29.8571	0.00070839
30	0.000774273
30.1429	0.000760743
30.2857	0.000735439
30.4286	0.000747678
30.5714	0.000587553
30.7143	0.000674112
30.8571	0.000655261
31	0.00065576
31.1429	0.00076789
31.2857	0.000661813
31.4286	0.000646026
31.5714	0.000723901
31.7143	0.000719452
31.8571	0.000740514
32	0.000656576
32.1429	0.000648986
32.2857	0.000727922
32.4286	0.000758114
32.5714	0.000755489
32.7143	0.000790872
32.8571	0.000777667
33	0.000721904
33.1429	0.000733577
33.2857	0.000719307
33.4286	0.000744581
33.5714	0.000677376
33.7143	0.000690789
33.8571	0.000756977
34	0.000715465
34.1429	0.000665485
34.2857	0.000627092
34.4286	0.0006456
34.5714	0.000645442
34.7143	0.000626647
34.8571	0.000591537
35	0.000586864
35.1429	0.000634719
35.2857	0.00069521
35.4286	0.000578528
35.5714	0.000658728
35.7143	0.000657413
35.8571	0.000629892
36	0.000577648
36.1429	0.000608987
36.2857	0.000576592
36.4286	0.000623676
36.5714	0.000580854
36.7143	0.000618796
36.8571	0.00055443
37	0.000555356
37.1429	0.000548194
37.2857	0.000576457
37.4286	0.000559485
37.5714	0.000638853
37.7143	0.000615665
37.8571	0.00062706
38	0.000626062
38.1429	0.000613003
38.2857	0.000583984
38.4286	0.000559892
38.5714	0.000593894
38.7143	0.000620252
38.8571	0.000553968
39	0.00061213
39.1429	0.000582767
39.2857	0.000527897
39.4286	0.000597373
39.5714	0.000563519
39.7143	0.000576379
39.8571	0.000515831
40	0.000486995
40.1429	0.000528661
40.2857	0.000503569
40.4286	0.000539566
40.5714	0.000499532
40.7143	0.000622936
40.8571	0.000560438
41	0.000523106
41.1429	0.000510475
41.2857	0.000435023
41.4286	0.000579569
41.5714	0.000489948
41.7143	0.000546299
41.8571	0.000591297
42	0.000537588
42.1429	0.000488746
42.2857	0.000606037
42.4286	0.000528618
42.5714	0.000506794
42.7143	0.000483147
42.8571	0.000528249
43	0.000500057
43.1429	0.000506262
43.2857	0.000548636
43.4286	0.000485512
43.5714	0.000543886
43.7143	0.000550563
43.8571	0.000477455
44	0.000466298
44.1429	0.000538995
44.2857	0.000520646
44.4286	0.000500771
44.5714	0.000571211
44.7143	0.000505434
44.8571	0.00056044
45	0.00055923
45.1429	0.000479821
45.2857	0.000477016
45.4286	0.000498196
45.5714	0.000503692
45.7143	0.000506246
45.8571	0.000495722
46	0.000475382
46.1429	0.000494593
46.2857	0.000472843
46.4286	0.000452605
46.5714	0.000462692
46.7143	0.000503956
46.8571	0.000490326
47	0.000471005
47.1429	0.000434862
47.2857	0.00044759
47.4286	0.000443173
47.5714	0.000425968
47.7143	0.000410022
47.8571	0.000437038
48	0.000462882
48.1429	0.00047155
48.2857	0.000480154
48.4286	0.000436888
48.5714	0.000468931
48.7143	0.000483428
48.8571	0.000490155
49	0.000451536
49.1429	0.000391922
49.2857	0.000421298
49.4286	0.000453057
49.5714	0.000437566
49.7143	0.00044838
49.8571	0.000453371
50	0.000474895
50.1429	0.000490827
50.2857	0.000468827
50.4286	0.000451024
50.5714	0.000466114
50.7143	0.00044003
50.8571	0.000479383
51	0.000459195
51.1429	0.000476989
51.2857	0.00048339
51.4286	0.000456466
51.5714	0.000493398
51.7143	0.00048614
51.8571	0.000485921
52	0.000460427
52.1429	0.000470821
52.2857	0.000408282
52.4286	0.000448745
52.5714	0.000470109
52.7143	0.000434429
52.8571	0.000427264
53	0.000396836
53.1429	0.000424285
53.2857	0.000434698
53.4286	0.000416684
53.5714	0.000403982
53.7143	0.000405528
53.8571	0.000434797
54	0.000439345
54.1429	0.000415109
54.2857	0.000412948
54.4286	0.000415059
54.5714	0.000434475
54.7143	0.000430296
54.8571	0.000424776
55	0.000432584
55.1429	0.000443407
55.2857	0.000441168
55.4286	0.000428855
55.5714	0.000419027
55.7143	0.000395997
55.8571	0.000401811
56	0.000398031
56.1429	0.000409397
56.2857	0.000437814
56.4286	0.000424764
56.5714	0.000410253
56.7143	0.000432111
56.8571	0.000413574
57	0.000350206
57.1429	0.000400536
57.2857	0.000400572
57.4286	0.000405306
57.5714	0.000379716
57.7143	0.000408166
57.8571	0.000400514
58	0.000395161
58.1429	0.000384563
58.2857	0.000352234
58.4286	0.000376496
58.5714	0.000366089
58.7143	0.00037831
58.8571	0.000367927
59	0.000353846
59.1429	0.000402409
59.2857	0.000400936
59.4286	0.000385882
59.5714	0.000363708
59.7143	0.000368815
59.8571	0.000358729
60	0.000388457
60.1429	0.000359237
60.2857	0.000369878
60.4286	0.00038345
60.5714	0.000362425
60.7143	0.000346514
60.8571	0.000381522
61	0.000378869
61.1429	0.000363019
61.2857	0.000355584
61.4286	0.000362017
61.5714	0.000389589
61.7143	0.000391272
61.8571	0.000389878
62	0.000374702
62.1429	0.000379429
62.2857	0.000392758
62.4286	0.000394852
62.5714	0.000371488
62.7143	0.000383685
62.8571	0.000392983
63	0.000367291
63.1429	0.000387031
63.2857	0.000357592
63.4286	0.000360844
63.5714	0.000396439
63.7143	0.000382195
63.8571	0.000371538
64	0.00037633
64.1429	0.000363107
64.2857	0.000363331
64.4286	0.000360184
64.5714	0.000360585
64.7143	0.000339975
64.8571	0.00034765
65	0.000374884
65.1429	0.000358826
65.2857	0.000364591
65.4286	0.000349921
65.5714	0.00038454
65.7143	0.000341201
65.8571	0.000353374
66	0.000341428
66.1429	0.000354515
66.2857	0.000353177
66.4286	0.000359848
66.5714	0.000353485
66.7143	0.000355243
66.8571	0.000361904
67	0.000359329
67.1429	0.00036889
67.2857	0.000352127
67.4286	0.000357315
67.5714	0.000357793
67.7143	0.000362607
67.8571	0.000339996
68	0.000342464
68.1429	0.000347501
68.2857	0.000348551
68.4286	0.000339702
68.5714	0.000341682
68.7143	0.000350849
68.8571	0.000340783
69	0.000350992
69.1429	0.000351561
69.2857	0.000354564
69.4286	0.000342152
69.5714	0.00034922
69.7143	0.000344385
69.8571	0.000361624
70	0.000353801
70.1429	0.000338577
70.2857	0.000358462
70.4286	0.000338967
70.5714	0.000333435
70.7143	0.000337818
70.8571	0.00033991
71	0.000353435
71.1429	0.000330002
71.2857	0.000339366
71.4286	0.000359141
71.5714	0.000350626
71.7143	0.000341947
71.8571	0.000344692
72	0.000345424
72.1429	0.000342658
72.2857	0.000334455
72.4286	0.000335804
72.5714	0.000345627
72.7143	0.000329114
72.8571	0.000344413
73	0.000342356
73.1429	0.000355204
73.2857	0.0003414
73.4286	0.000342087
73.5714	0.000337377
73.7143	0.000341205
73.8571	0.000315174
74	0.000327245
74.1429	0.000334484
74.2857	0.00033576
74.4286	0.000340153
74.5714	0.000329469
74.7143	0.000343068
74.8571	0.000333982
75	0.00032616
75.1429	0.00032479
75.2857	0.000326611
75.4286	0.000308419
75.5714	0.000322944
75.7143	0.00032731
75.8571	0.000325294
76	0.00031469
76.1429	0.00031922
76.2857	0.000310436
76.4286	0.000306357
76.5714	0.000308716
76.7143	0.000328141
76.8571	0.000326362
77	0.000327224
77.1429	0.000335122
77.2857	0.000342019
77.4286	0.00033028
77.5714	0.00033078
77.7143	0.000318214
77.8571	0.000318272
78	0.00031685
78.1429	0.000322021
78.2857	0.000316392
78.4286	0.000323054
78.5714	0.000318246
78.7143	0.000331324
78.8571	0.000318146
79	0.000322832
79.1429	0.000319295
79.2857	0.000318966
79.4286	0.00031004
79.5714	0.000326639
79.7143	0.000309429
79.8571	0.000313909
80	0.000311621
80.1429	0.000311321
80.2857	0.000311791
80.4286	0.000313642
80.5714	0.000310891
80.7143	0.000315933
80.8571	0.000310358
81	0.000316861
81.1429	0.00030987
81.2857	0.00030274
81.4286	0.000304765
81.5714	0.000314259
81.7143	0.000304085
81.8571	0.00030406
82	0.000312021
82.1429	0.000310662
82.2857	0.00029963
82.4286	0.000308611
82.5714	0.000301327
82.7143	0.000303673
82.8571	0.000315904
83	0.000312973
83.1429	0.000317913
83.2857	0.000298089
83.4286	0.000312779
83.5714	0.000316586
83.7143	0.000316392
83.8571	0.000298216
84	0.000314182
84.1429	0.000320951
84.2857	0.000324802
84.4286	0.000319947
84.5714	0.000317648
84.7143	0.000332975
84.8571	0.000312058
85	0.000310961
85.1429	0.000302433
85.2857	0.00030793
85.4286	0.000314495
85.5714	0.000313785
85.7143	0.000306704
85.8571	0.000304867
86	0.000304066
86.1429	0.000318733
86.2857	0.000320135
86.4286	0.000307584
86.5714	0.000301079
86.7143	0.000305983
86.8571	0.000309053
87	0.000317279
87.1429	0.000297608
