Time (ns)	|TDR_BPI(1,1,0,1,1,0)|[*] : ToTimeDomain
164.286	0.000356813
164.429	0.000362938
164.571	0.000355239
164.714	0.000367898
164.857	0.000369196
165	0.000374792
165.143	0.000361896
165.286	0.000369721
165.429	0.00036917
165.571	0.000374312
165.714	0.00036153
165.857	0.000363939
166	0.000373464
166.143	0.000369443
166.286	0.000371122
166.429	0.000381241
166.571	0.000381088
166.714	0.000373486
166.857	0.000372042
167	0.000371122
167.143	0.000370921
167.286	0.000374957
167.429	0.000381858
167.571	0.000382211
167.714	0.000386144
167.857	0.00038962
168	0.000377219
168.143	0.000386178
168.286	0.000372779
168.429	0.000389915
168.571	0.000380129
168.714	0.000390766
168.857	0.00038134
169	0.000382252
169.143	0.000384349
169.286	0.000382345
169.429	0.000376441
169.571	0.000384323
169.714	0.000383051
169.857	0.000388614
170	0.000391945
170.143	0.0003895
170.286	0.000392502
170.429	0.000388589
170.571	0.000398279
170.714	0.000389358
170.857	0.000387425
171	0.000399432
171.143	0.000400828
171.286	0.000394522
171.429	0.000396106
171.571	0.000402339
171.714	0.000398214
171.857	0.000408132
172	0.000398258
172.143	0.000408494
172.286	0.000399774
172.429	0.000398351
172.571	0.00040685
172.714	0.000409803
172.857	0.000398351
173	0.000400706
173.143	0.000399549
173.286	0.000404605
173.429	0.000399737
173.571	0.000404369
173.714	0.000414888
173.857	0.000410577
174	0.000399874
174.143	0.000406074
174.286	0.000405688
174.429	0.000399868
174.571	0.000408406
174.714	0.00040529
174.857	0.000398193
175	0.000401741
175.143	0.000407536
175.286	0.0004111
175.429	0.000397197
175.571	0.000414769
175.714	0.000411125
175.857	0.000414108
176	0.000421886
176.143	0.000422182
176.286	0.000416715
176.429	0.000425656
176.571	0.000423941
176.714	0.000412286
176.857	0.000427112
177	0.000418026
177.143	0.000426551
177.286	0.00042823
177.429	0.000422411
177.571	0.000430471
177.714	0.000423308
177.857	0.000437283
178	0.000431723
178.143	0.000426602
178.286	0.000437197
178.429	0.000445617
178.571	0.00042986
178.714	0.000433056
178.857	0.000438959
179	0.000434103
179.143	0.000439072
179.286	0.000449183
179.429	0.00044624
179.571	0.000450281
179.714	0.000439506
179.857	0.000447415
180	0.000442272
180.143	0.000449816
180.286	0.00045736
180.429	0.000463051
180.571	0.000445856
180.714	0.000444426
180.857	0.00045991
181	0.000452165
181.143	0.000447288
181.286	0.000458818
181.429	0.000467542
181.571	0.00045754
181.714	0.000467936
181.857	0.00045946
182	0.00045504
182.143	0.000450152
182.286	0.000453422
182.429	0.000459508
182.571	0.000458912
182.714	0.00046582
182.857	0.000458026
183	0.000469433
183.143	0.000461086
183.286	0.000474201
183.429	0.00047359
183.571	0.000476928
183.714	0.0004787
183.857	0.000472406
184	0.000473442
184.143	0.000484966
184.286	0.000480556
184.429	0.000484908
184.571	0.000491975
184.714	0.000494193
184.857	0.00048732
185	0.000489505
185.143	0.000493521
185.286	0.000492944
185.429	0.000503065
185.571	0.000494926
185.714	0.000502675
185.857	0.000490915
186	0.00051434
186.143	0.000512061
186.286	0.000501287
186.429	0.000501937
186.571	0.000505858
186.714	0.000508829
186.857	0.000494814
187	0.000517678
187.143	0.00050545
187.286	0.00051403
187.429	0.000501477
187.571	0.000506729
187.714	0.000510433
187.857	0.000511258
188	0.000525239
188.143	0.000530436
188.286	0.000527614
188.429	0.000527884
188.571	0.000528788
188.714	0.000540942
188.857	0.00053695
189	0.000536248
189.143	0.000529755
189.286	0.000547039
189.429	0.000532237
189.571	0.000545111
189.714	0.000543553
189.857	0.000535895
190	0.000549695
190.143	0.000539474
190.286	0.000554711
190.429	0.000548598
190.571	0.000548857
190.714	0.000557823
190.857	0.000549054
191	0.000551416
191.143	0.00055873
191.286	0.000560822
191.429	0.000554636
191.571	0.000557353
191.714	0.00055566
191.857	0.000573736
192	0.000572911
192.143	0.000577757
192.286	0.000575855
192.429	0.000580088
192.571	0.000576706
192.714	0.00057972
192.857	0.000576659
193	0.00058805
193.143	0.000586037
193.286	0.000580012
193.429	0.000589244
193.571	0.000592648
193.714	0.000591476
193.857	0.000599158
194	0.000618168
194.143	0.000607472
194.286	0.000608183
194.429	0.000614052
194.571	0.0006118
194.714	0.000602744
194.857	0.000605024
195	0.000617764
195.143	0.000621106
195.286	0.000608234
195.429	0.000627869
195.571	0.00062152
195.714	0.000623232
195.857	0.000639982
196	0.000640785
196.143	0.000637281
196.286	0.000642859
196.429	0.000650701
196.571	0.000650141
196.714	0.000660079
196.857	0.000650537
197	0.000665534
197.143	0.0006601
197.286	0.000667568
197.429	0.00066926
197.571	0.000664858
197.714	0.000662219
197.857	0.000666376
198	0.000663695
198.143	0.000672829
198.286	0.00068338
198.429	0.000673926
198.571	0.000681294
198.714	0.00068215
198.857	0.000687113
199	0.000685176
199.143	0.00068604
199.286	0.000679131
199.429	0.000696972
199.571	0.000697278
199.714	0.000706517
199.857	0.000704475
200	0.000717375
200.143	0.000713052
200.286	0.000711405
200.429	0.00072654
200.571	0.000718764
200.714	0.000729305
200.857	0.000732099
201	0.000747794
201.143	0.000738884
201.286	0.000744744
201.429	0.000736345
201.571	0.00076068
201.714	0.000748612
201.857	0.000760634
202	0.000766193
202.143	0.000770206
202.286	0.000780201
202.429	0.000774125
202.571	0.000783544
202.714	0.000771372
202.857	0.000789687
203	0.000782514
203.143	0.000788326
203.286	0.000783456
203.429	0.000794638
203.571	0.000795673
203.714	0.000803983
203.857	0.000804741
204	0.000827701
204.143	0.000829856
204.286	0.000838129
204.429	0.000834672
204.571	0.000840021
204.714	0.00083962
204.857	0.000841396
205	0.000850972
205.143	0.000851931
205.286	0.000863692
205.429	0.000872257
205.571	0.000868691
205.714	0.000871608
205.857	0.000882662
206	0.000874705
206.143	0.000891239
206.286	0.00089201
206.429	0.000904489
206.571	0.000900277
206.714	0.000921957
206.857	0.000918446
207	0.000918834
207.143	0.000920007
207.286	0.000937847
207.429	0.000942775
207.571	0.00093666
207.714	0.000948962
207.857	0.00096548
208	0.000965101
208.143	0.000969323
208.286	0.000970876
208.429	0.000971057
208.571	0.00099756
208.714	0.000988835
208.857	0.00100685
209	0.00100605
209.143	0.00102765
209.286	0.00103107
209.429	0.00105018
209.571	0.00104439
209.714	0.00104719
209.857	0.00106012
210	0.00105779
210.143	0.00106269
210.286	0.00106163
210.429	0.00108144
210.571	0.00108501
210.714	0.00109536
210.857	0.00110121
211	0.00111177
211.143	0.00111809
211.286	0.00113599
211.429	0.00113286
211.571	0.00114081
211.714	0.0011582
211.857	0.00116441
212	0.00116568
212.143	0.00118459
212.286	0.00118498
212.429	0.00120035
212.571	0.0012251
212.714	0.00122174
212.857	0.00124266
213	0.00125099
213.143	0.00126234
213.286	0.00125812
213.429	0.001282
213.571	0.00128499
213.714	0.00131425
213.857	0.00131503
214	0.00134163
214.143	0.0013415
214.286	0.00136921
214.429	0.00137515
214.571	0.0013925
214.714	0.00140522
214.857	0.00141763
215	0.00143091
215.143	0.00143251
215.286	0.00145018
215.429	0.00145032
215.571	0.00147665
215.714	0.00148779
215.857	0.00150476
216	0.00150846
216.143	0.00152932
216.286	0.00154406
216.429	0.00155996
216.571	0.00158452
216.714	0.00158927
216.857	0.00161238
217	0.00162763
217.143	0.00164746
217.286	0.00166947
217.429	0.00168452
217.571	0.00171846
217.714	0.00172746
217.857	0.00176059
218	0.00177476
218.143	0.00179934
218.286	0.00183509
218.429	0.00184659
218.571	0.00188084
218.714	0.00189994
218.857	0.00194365
219	0.00196098
219.143	0.00198498
219.286	0.00200224
219.429	0.00203659
219.571	0.00206292
219.714	0.00209058
219.857	0.00213949
220	0.00217108
220.143	0.00219682
220.286	0.00223958
220.429	0.00227987
220.571	0.00232955
220.714	0.00235821
220.857	0.00242862
221	0.00230651
221.143	0.00235894
221.286	0.0025227
221.429	0.00212769
221.571	0.00189668
221.714	0.00266104
221.857	0.00248763
222	0.0026907
222.143	0.00284713
222.286	0.00286142
222.429	0.00280421
222.571	0.00291905
222.714	0.00285166
222.857	0.00300951
223	0.00290068
223.143	0.00314594
223.286	0.00320928
223.429	0.00345221
223.571	0.00348242
223.714	0.00353945
223.857	0.00362605
224	0.00373083
224.143	0.00382521
224.286	0.00382708
224.429	0.00404941
224.571	0.00411206
224.714	0.00423239
224.857	0.00433334
225	0.00447227
225.143	0.00465722
225.286	0.00491458
225.429	0.00499509
225.571	0.00530484
225.714	0.0054557
225.857	0.00563175
226	0.00583419
226.143	0.00619091
226.286	0.00634299
226.429	0.00676642
226.571	0.00695975
226.714	0.00744976
226.857	0.0078361
227	0.00839156
227.143	0.00883888
227.286	0.0105202
227.429	0.00990528
227.571	0.0108897
227.714	0.0125664
227.857	0.0130174
228	0.0151505
228.143	0.0172199
228.286	0.0203792
228.429	0.0254919
228.571	0.0370573
